player_club_id,season,player,nationality_code,position_raw,primary_position,club,age,birth_year,matches,starts,minutes,nineties,goals,assists,non_penalty_goals,penalties_scored,penalties_attempted,yellow_cards,red_cards,shots,shots_on_target,shot_on_target_pct,goals_per_shot,goals_per_shot_on_target,minutes_per_match,team_minutes_pct,minutes_per_start,completed_matches,sub_appearances,unused_sub,points_per_match,team_goals_while_on_pitch,team_goals_against_while_on_pitch,plus_minus,plus_minus_per90,on_off_per90,crosses,tackles_won,interceptions,fouls_committed,fouls_drawn,offsides,own_goals,goals_against_gk,goals_against_per90_gk,shots_on_target_against_gk,saves_gk,save_pct_gk,wins_gk,draws_gk,losses_gk,clean_sheets_gk,clean_sheet_pct_gk,penalties_faced_gk,penalties_allowed_gk,penalties_saved_gk,position_group,position_group_ko,age_group,goal_contributions,goals_per90,assists_per90,goal_contributions_per90,non_penalty_goals_per90,shots_per90,shots_on_target_per90,crosses_per90,tackles_won_per90,interceptions_per90,fouls_committed_per90,fouls_drawn_per90,shot_conversion_pct,ranking_eligible_450min,ranking_eligible_900min,sample_size_group,is_goalkeeper,multi_club_player,stat_coverage_pct,bis_raw,bis_reliability,bis_score,bis_position_rank,bis_version
202526_maximilian_mittelstadt_vfb_stuttgart,2025-2026,Maximilian Mittelstädt,GER,"DF,MF",DF,VfB Stuttgart,28,1997,32,24,2186,24.2889,6,4,2,4,4,4,0,31,16,0.516,0.06,0.13,68,0.714,84.0,12,8,1,1.75,49,29,20,0.82,0.62,122,42,35,11,26,2,0,,,,,,,,,,,,,,Defender,수비수,26-29,10,0.247,0.1647,0.4117,0.0823,1.2763,0.6587,5.0229,1.7292,1.441,0.4529,1.0704,0.1935,True,True,Regular (900+ min),False,False,1.0,86.12087912087914,1.0,86.12087912087914,1,v1_position_percentile_900min
202526_nicolas_capaldo_hamburger_sv,2025-2026,Nicolás Capaldo,ARG,"DF,MF",DF,Hamburger SV,26,1998,26,24,2001,22.2333,1,3,1,0,0,10,0,22,6,0.273,0.05,0.17,77,0.654,82.0,12,2,1,1.04,27,34,-7,-0.31,0.28,21,46,35,31,46,2,0,,,,,,,,,,,,,,Defender,수비수,26-29,4,0.045,0.1349,0.1799,0.045,0.9895,0.2699,0.9445,2.069,1.5742,1.3943,2.069,0.0455,True,True,Regular (900+ min),False,False,1.0,73.1758241758242,1.0,73.1758241758242,2,v1_position_percentile_900min
202526_lukas_kubler_sc_freiburg,2025-2026,Lukas Kübler,GER,DF,DF,SC Freiburg,32,1992,23,19,1587,17.6333,2,2,2,0,0,3,0,19,5,0.263,0.11,0.4,69,0.519,79.0,9,4,4,1.43,33,35,-2,-0.11,0.13,30,25,31,20,11,6,0,,,,,,,,,,,,,,Defender,수비수,30+,4,0.1134,0.1134,0.2268,0.1134,1.0775,0.2836,1.7013,1.4178,1.758,1.1342,0.6238,0.1053,True,True,Regular (900+ min),False,False,1.0,73.9010989010989,0.8816666666666667,71.0728021978022,3,v1_position_percentile_900min
202526_philipp_sander_borussia_monchengladbach,2025-2026,Philipp Sander,GER,"DF,MF",DF,Borussia Mönchengladbach,27,1998,30,29,2445,27.1667,2,0,2,0,0,4,0,25,8,0.32,0.08,0.25,82,0.799,83.0,18,1,1,1.0,35,39,-4,-0.15,0.88,28,42,50,28,14,0,1,,,,,,,,,,,,,,Defender,수비수,26-29,2,0.0736,0.0,0.0736,0.0736,0.9202,0.2945,1.0307,1.546,1.8405,1.0307,0.5153,0.08,True,True,Regular (900+ min),False,False,1.0,71.06593406593407,1.0,71.06593406593407,4,v1_position_percentile_900min
202526_david_raum_rb_leipzig,2025-2026,David Raum,GER,DF,DF,RB Leipzig,27,1998,30,29,2553,28.3667,3,7,2,1,1,6,0,24,8,0.333,0.08,0.25,85,0.834,88.0,25,1,1,2.03,57,34,23,0.81,1.52,250,35,33,29,17,6,0,,,,,,,,,,,,,,Defender,수비수,26-29,10,0.1058,0.2468,0.3525,0.0705,0.8461,0.282,8.8132,1.2338,1.1633,1.0223,0.5993,0.125,True,True,Regular (900+ min),False,False,1.0,69.5054945054945,1.0,69.5054945054945,5,v1_position_percentile_900min
202526_albian_hajdari_tsg_hoffenheim,2025-2026,Albian Hajdari,KVX,DF,DF,TSG Hoffenheim,22,2003,30,28,2434,27.0444,1,2,1,0,0,10,0,19,4,0.211,0.05,0.25,81,0.795,85.0,20,2,1,1.77,52,37,15,0.55,0.84,19,38,42,43,23,0,0,,,,,,,,,,,,,,Defender,수비수,22-25,3,0.037,0.074,0.1109,0.037,0.7025,0.1479,0.7025,1.4051,1.553,1.59,0.8505,0.0526,True,True,Regular (900+ min),False,False,1.0,69.28571428571428,1.0,69.28571428571428,6,v1_position_percentile_900min
202526_ridle_baku_rb_leipzig,2025-2026,Ridle Baku,GER,DF,DF,RB Leipzig,27,1998,32,28,2504,27.8222,2,3,2,0,0,4,0,30,6,0.2,0.07,0.33,78,0.818,86.0,14,4,0,1.94,50,36,14,0.5,-0.31,59,40,31,23,22,4,0,,,,,,,,,,,,,,Defender,수비수,26-29,5,0.0719,0.1078,0.1797,0.0719,1.0783,0.2157,2.1206,1.4377,1.1142,0.8267,0.7907,0.0667,True,True,Regular (900+ min),False,False,1.0,68.26373626373626,1.0,68.26373626373626,7,v1_position_percentile_900min
202526_nnamdi_collins_eintracht_frankfurt,2025-2026,Nnamdi Collins,GER,DF,DF,Eintracht Frankfurt,21,2004,23,16,1500,16.6667,1,2,1,0,0,4,0,4,1,0.25,0.25,1.0,65,0.49,85.0,12,7,3,1.57,38,32,6,0.36,0.94,4,38,24,22,19,0,0,,,,,,,,,,,,,,Defender,수비수,U21,3,0.06,0.12,0.18,0.06,0.24,0.06,0.24,2.28,1.44,1.32,1.14,0.25,True,True,Regular (900+ min),False,False,1.0,71.43956043956044,0.8333333333333334,67.86630036630036,8,v1_position_percentile_900min
202526_kim_min_jae_bayern_munchen,2025-2026,Kim Min-jae,KOR,DF,DF,Bayern München,28,1996,25,19,1602,17.8,1,1,1,0,0,1,0,5,3,0.6,0.2,0.33,64,0.524,82.0,11,6,5,2.56,57,21,36,2.02,-1.06,1,19,38,9,3,0,0,,,,,,,,,,,,,,Defender,수비수,26-29,2,0.0562,0.0562,0.1124,0.0562,0.2809,0.1685,0.0562,1.0674,2.1348,0.5056,0.1685,0.2,True,True,Regular (900+ min),False,False,1.0,68.63736263736264,0.89,66.58725274725275,9,v1_position_percentile_900min
202526_vladimir_coufal_tsg_hoffenheim,2025-2026,Vladimír Coufal,CZE,"DF,MF",DF,TSG Hoffenheim,32,1992,34,34,3012,33.4667,1,8,1,0,0,4,0,26,6,0.231,0.04,0.17,89,0.984,89.0,28,0,0,1.79,64,50,14,0.42,2.29,209,35,39,32,42,1,0,,,,,,,,,,,,,,Defender,수비수,30+,9,0.0299,0.239,0.2689,0.0299,0.7769,0.1793,6.245,1.0458,1.1653,0.9562,1.255,0.0385,True,True,Regular (900+ min),False,False,1.0,66.15384615384615,1.0,66.15384615384615,10,v1_position_percentile_900min
