match_id,season,season_start_year,match_date,team,opponent,venue,venue_ko,goals_for,goals_against,goal_difference,result,points,shots_for,shots_against,shots_on_target_for,shots_on_target_against,corners_for,corners_against,fouls_committed,fouls_drawn,yellow_cards,red_cards,clean_sheet,scored,match_stats_available,team_match_number,rolling_points_last5,rolling_goal_diff_last5
20012002_001,2001-2002,2001,2001-07-28,1. FC Kaiserslautern,1860 München,Away,원정,4,0,4,W,3,7,8,5,2,4,7,20,17,3,0,True,True,True,1,3,4
20012002_016,2001-2002,2001,2001-08-05,1. FC Kaiserslautern,Borussia Mönchengladbach,Home,홈,3,2,1,W,3,18,8,8,4,7,0,16,18,1,0,False,True,True,2,6,5
20012002_018,2001-2002,2001,2001-08-11,1. FC Kaiserslautern,1. FC Köln,Home,홈,2,1,1,W,3,18,9,6,4,8,3,23,18,1,0,False,True,True,3,9,6
20012002_029,2001-2002,2001,2001-08-18,1. FC Kaiserslautern,Hamburger SV,Away,원정,3,2,1,W,3,10,21,5,9,2,2,16,16,1,0,False,True,True,4,12,7
20012002_044,2001-2002,2001,2001-09-09,1. FC Kaiserslautern,Werder Bremen,Home,홈,2,1,1,W,3,17,10,10,4,8,6,15,19,1,0,False,True,True,5,15,8
20012002_046,2001-2002,2001,2001-09-15,1. FC Kaiserslautern,1. FC Nürnberg,Away,원정,2,0,2,W,3,5,10,3,4,5,10,23,11,1,0,True,True,True,6,15,6
20012002_055,2001-2002,2001,2001-09-22,1. FC Kaiserslautern,Hertha BSC,Home,홈,4,1,3,W,3,12,11,8,4,10,8,20,19,2,0,False,True,True,7,15,8
20012002_069,2001-2002,2001,2001-09-29,1. FC Kaiserslautern,VfL Wolfsburg,Away,원정,0,2,-2,L,0,19,27,9,12,15,7,21,28,2,0,False,False,True,8,12,5
20012002_073,2001-2002,2001,2001-10-13,1. FC Kaiserslautern,Hansa Rostock,Home,홈,3,1,2,W,3,16,11,6,4,9,6,13,20,0,0,False,True,True,9,12,6
20012002_084,2001-2002,2001,2001-10-20,1. FC Kaiserslautern,Bayern München,Away,원정,1,4,-3,L,0,4,9,2,6,4,5,15,12,1,0,False,True,True,10,9,2
20012002_091,2001-2002,2001,2001-10-27,1. FC Kaiserslautern,Schalke 04,Home,홈,0,0,0,D,1,12,10,6,5,5,9,19,15,1,0,True,False,True,11,7,0
